"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"42","Nava Ltd","NAVA","P&F | F.A","8.27%","529.8","1,37,05,236"
"57","Gujarat Themis Biosyn Ltd","GUJTHEM","P&F | F.A","8.25%","332.1","4,08,461"
"13","Garden Reach Shipbuilders & Engineers Ltd","GRSE","P&F | F.A","6.54%","3356.5","59,74,176"
"26","Associated Alcohols & Breweries Ltd","ASALCBR","P&F | F.A","5.4%","1129.4","1,35,786"
"54","S & S Power Switchgear Ltd","S&SPOWER","P&F | F.A","4.99%","372.25","4,610"
"19","OneSource Specialty Pharma Ltd","ONESOURCE","P&F | F.A","4.13%","1948.7","2,17,430"
"22","Lloyds Metals & Energy Ltd","LLOYDSME","P&F | F.A","4.02%","1500","13,72,822"
"17","Zen Technologies Limited","ZENTEC","P&F | F.A","3.83%","2229.6","7,66,339"
"39","Marathon Nextgen Realty Limited","MARATHON","P&F | F.A","3.61%","545","1,22,004"
"74","Reliance Power Limited","RPOWER","P&F | F.A","3.46%","60.93","24,47,80,840"
"4","Force Motors Ltd","FORCEMOT","P&F | F.A","2.67%","12333","90,201"
"71","Welspun Living Ltd","WELSPUNLIV","P&F | F.A","2.61%","133.91","38,49,480"
"49","Jupiter Wagons Ltd","JWL","P&F | F.A","2.3%","399.75","66,99,436"
"77","Dhanlaxmi Bank Limited","DHANBANK","P&F | F.A","2.24%","32.02","22,35,892"
"61","JSW Infrastructure Ltd","JSWINFRA","P&F | F.A","2.14%","292.9","23,89,442"
"64","Bharat Wire Ropes Limited","BHARATWIRE","P&F | F.A","2.13%","191.75","3,06,219"
"23","Kaveri Seed Company Limited","KSCL","P&F | F.A","1.7%","1480.3","1,47,099"
"5","Astrazeneca Pharma India Limited","ASTRAZEN","P&F | F.A","1.68%","9493.5","6,18,303"
"41","Transformers & Rectifiers India Ltd","TARIL","P&F | F.A","1.65%","533.8","7,32,157"
"66","CP Capital Limited","CPCAP","P&F | F.A","1.64%","173.6","35,380"
"82","Gayatri Highways Ltd","GAYAHWS","P&F | F.A","1.64%","1.24","62,299"
"28","Alembic Pharmaceuticals Limited","APLLTD","P&F | F.A","1.63%","981.4","70,494"
"38","Sil Investments Limited","SILINV","P&F | F.A","1.57%","619.25","5,621"
"12","Swaraj Engines Limited","SWARAJENG","P&F | F.A","1.41%","3921.3","11,608"
"44","Td Power Systems Limited","TDPOWERSYS","P&F | F.A","1.3%","507.1","4,18,876"
"24","Websol Energy System Limited","WEBELSOLAR","P&F | F.A","1.19%","1397.3","1,07,410"
"2","Solar Industries India Limited","SOLARINDS","P&F | F.A","1.14%","16809","1,82,148"
"32","ICE Make Refrigeration Ltd","ICEMAKE","P&F | F.A","1.13%","839.9","62,532"
"37","Chennai Petroleum Corporation Limited","CHENNPETRO","P&F | F.A","1.13%","658.5","10,62,705"
"31","Adani Energy Solutions Ltd","ADANIENSOL","P&F | F.A","1.1%","866","59,47,467"
"43","Heg Limited","HEG","P&F | F.A","1.08%","522.95","19,82,677"
"25","Jyoti CNC Automation Ltd","JYOTICNC","P&F | F.A","1.07%","1310","1,31,208"
"60","Wanbury Limited","WANBURY","P&F | F.A","1%","299.2","22,447"
"75","Nandani Creation Ltd","JAIPURKURT","P&F | F.A","1%","42.37","12,510"
"11","Beml Limited","BEML","P&F | F.A","0.94%","4373.7","14,00,257"
"1","Jsw Holdings Limited","JSWHL","P&F | F.A","0.92%","22525","3,026"
"73","Motilal Oswal Nifty India Defence ETF","MODEFENCE","P&F | F.A","0.81%","97.43","38,12,211"
"52","Man Industries (india) Limited","MANINDS","P&F | F.A","0.74%","394.25","7,07,886"
"69","Mangalore Refinery And Petrochemicals Limited","MRPL","P&F | F.A","0.47%","141.7","21,19,109"
"34","Magadh Sugar & Energy Ltd","MAGADSUGAR","P&F | F.A","0.36%","747.85","19,473"
"6","Godfrey Phillips India Limited","GODFRYPHLP","P&F | F.A","0.24%","8415.5","97,605"
"70","Gpt Infraprojects Limited","GPTINFRA","P&F | F.A","0.23%","140.44","93,829"
"35","Ventive Hospitality Ltd","VENTIVE","P&F | F.A","0.16%","735.75","66,877"
"14","Power Mech Projects Limited","POWERMECH","P&F | F.A","0.14%","3163.6","44,160"
"58","Indostar Capital Finance Ltd","INDOSTAR","P&F | F.A","0.12%","327.75","2,19,901"
"53","Sundaram Finance Holdings Ltd","SUNDARMHLD","P&F | F.A","-0.05%","389","96,487"
"76","Bohra Industries Ltd","BOHRAIND","P&F | F.A","-0.06%","33.4","2,079"
"67","Somi Conveyor Beltings Limited","SOMICONVEY","P&F | F.A","-0.09%","163.53","42,995"
"78","Coffee Day Enterprises Limited","COFFEEDAY","P&F | F.A","-0.2%","30.29","2,80,632"
"30","Windlas Biotech Ltd","WINDLAS","P&F | F.A","-0.25%","921","15,758"
"46","RHI Magnesita India Ltd","RHIM","P&F | F.A","-0.27%","440.15","1,36,127"
"65","NACL Industries Ltd","NACLIND","P&F | F.A","-0.43%","175.6","91,667"
"72","Anik Industries Limited","ANIKINDS","P&F | F.A","-0.48%","110","3,809"
"18","Summit Securities Limited","SUMMITSEC","P&F | F.A","-0.52%","2071.7","6,169"
"59","Uttam Sugar Mills Limited","UTTAMSUGAR","P&F | F.A","-0.52%","313.5","49,891"
"48","Sangam (india) Limited","SANGAMIND","P&F | F.A","-0.58%","404.1","44,949"
"10","Hindustan Aeronautics Ltd","HAL","P&F | F.A","-0.59%","4959.8","21,72,800"
"7","Nalwa Sons Investments Limited","NSIL","P&F | F.A","-0.78%","6851","6,121"
"15","Prudent Corporate Advisory Services Ltd","PRUDENT","P&F | F.A","-0.81%","2822.8","22,632"
"36","Balu Forge Industries Ltd","BALUFORGE","P&F | F.A","-0.83%","700.75","6,87,700"
"80","DRC Systems India Ltd","DRCSYSTEMS","P&F | F.A","-0.93%","18.14","2,81,112"
"50","Dolphin Offshore Enterprises (India) Ltd","DOLPHIN","P&F | F.A","-0.96%","396.75","10,042"
"29","Ahluwalia Contracts (india) Limited","AHLUCONT","P&F | F.A","-1.07%","928.15","48,503"
"51","Laxmi Dental Ltd","LAXMIDENTL","P&F | F.A","-1.31%","395.9","50,024"
"8","Amber Enterprises India Ltd","AMBER","P&F | F.A","-1.38%","6240","1,43,071"
"21","Sml Isuzu Limited","SMLISUZU","P&F | F.A","-1.39%","1886.9","19,976"
"47","Kolte - Patil Developers Limited","KOLTEPATIL","P&F | F.A","-1.46%","435.55","3,02,260"
"20","Bharat Dynamics Ltd","BDL","P&F | F.A","-1.49%","1947.4","47,00,149"
"55","Windsor Machines Limited","WINDMACHIN","P&F | F.A","-1.56%","347.7","82,544"
"40","Sri Adhikari Brothers Television Network Ltd","SABTNL","P&F | F.A","-1.8%","545","894"
"62","Keynote Financial Services Ltd","KEYFINSERV","P&F | F.A","-2%","289.7","1,359"
"79","Shanti Overseas (India) Ltd","SHANTI","P&F | F.A","-2.01%","22.92","64,279"
"33","Avanti Feeds Limited","AVANTIFEED","P&F | F.A","-2.16%","762.95","9,77,857"
"27","Axiscades Engineering Technologies Limited","AXISCADES","P&F | F.A","-2.39%","1077.2","1,78,198"
"63","Simplex Infrastructures Limited","SIMPLEXINF","P&F | F.A","-2.39%","280.15","67,869"
