"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"98","NIFTY50DIVPOINT","NIFTY50DIVPOINT","P&F | F.A","275.15%","18.42","0"
"84","Shradha Infraprojects Ltd","SHRADHA","P&F | F.A","9.99%","64.82","22,800"
"38","Xpro India Limited","XPROINDIA","P&F | F.A","7.76%","1148.4","1,48,912"
"58","SRM Contractors Ltd","SRM","P&F | F.A","7.29%","361.2","38,781"
"93","Fiberweb (India) Ltd","FIBERWEB","P&F | F.A","5.09%","43.74","68,660"
"66","Kitex Garments Limited","KITEX","P&F | F.A","5%","276.08","27,01,986"
"95","Shree Rama Multi-tech Limited","SHREERAMA","P&F | F.A","5%","38.87","39,375"
"44","Kalyani Forge Limited","KALYANIFRG","P&F | F.A","4.99%","807.35","3,659"
"52","Tembo Global Industries Ltd","TEMBO","P&F | F.A","4.99%","509.9","42,064"
"82","Dhruv Consultancy Services Ltd","DHRUV","P&F | F.A","4.99%","70.45","41,082"
"55","Ashapura Minechem Limited","ASHAPURMIN","P&F | F.A","4.98%","405.55","5,21,338"
"99","Indiabulls Enterprises Ltd","IEL","P&F | F.A","4.93%","17.88","2,98,661"
"42","Kernex Microsystems (india) Limited","KERNEX","P&F | F.A","4.84%","887.75","2,22,250"
"56","Windsor Machines Limited","WINDMACHIN","P&F | F.A","4.45%","378.7","2,91,810"
"101","Future Market Networks Limited","FMNL","P&F | F.A","4.36%","16.27","50,630"
"48","Jindal Drilling And Industries Limited","JINDRILL","P&F | F.A","4.33%","662.1","2,94,683"
"109","Excel Realty N Infra Limited","EXCEL","P&F | F.A","4.23%","0.74","71,58,642"
"41","Avalon Technologies Ltd","AVALON","P&F | F.A","3.5%","897.1","7,93,249"
"33","N. B. I. Industrial Finance Company Limited","NBIFIN","P&F | F.A","3.18%","2526.2","530"
"103","Shyam Telecom Limited","SHYAMTEL","P&F | F.A","2.68%","12.63","2,539"
"100","United Polyfab Gujarat Ltd","UNITEDPOLY","P&F | F.A","2.52%","17.08","69,256"
"60","Tilaknagar Industries Limited","TI","P&F | F.A","2.46%","353.9","42,24,701"
"64","Iti Limited","ITI","P&F | F.A","2.46%","279.5","8,29,904"
"92","Rajdarshan Industries Ltd","ARENTERP","P&F | F.A","2.46%","43.78","1,580"
"54","Banco Products (i) Limited","BANCOINDIA","P&F | F.A","2.04%","412.1","2,05,654"
"72","Power & Instrumentation (Gujarat) Ltd","PIGL","P&F | F.A","2%","157.83","4,378"
"80","Pudumjee Paper Products Limited","PDMJEPAPER","P&F | F.A","2%","107.78","21,531"
"89","Raj Television Network Limited","RAJTV","P&F | F.A","1.97%","49.64","12,751"
"76","Tolins Tyres Ltd","TOLINS","P&F | F.A","1.83%","132.53","33,423"
"24","CNXPSE","CNXPSE","P&F | F.A","1.81%","9958.75","0"
"53","Black Box Ltd","BBOX","P&F | F.A","1.75%","440.8","2,30,448"
"27","Nalwa Sons Investments Limited","NSIL","P&F | F.A","1.73%","6980.5","11,821"
"73","Kronox Lab Sciences Ltd","KRONOX","P&F | F.A","1.68%","143.4","89,710"
"1","NIFTYALPHA50","NIFTYALPHA50","P&F | F.A","1.66%","50362.45","0"
"26","NIFTYSMALLCAP50","NIFTYSMALLCAP50","P&F | F.A","1.66%","8393.45","0"
"17","NIFTYSMALLCAP250","NIFTYSMALLCAP250","P&F | F.A","1.53%","16405.7","0"
"85","Dhani Services Ltd","DHANI","P&F | F.A","1.53%","61.59","31,29,622"
"65","Tera Software Ltd","TERASOFT","P&F | F.A","1.49%","277.15","72,384"
"49","Kiri Industries Limited","KIRIINDUS","P&F | F.A","1.32%","647.05","7,57,071"
"46","Shankara Building Products","SHANKARA","P&F | F.A","1.3%","741.75","16,73,719"
"83","Oil Country Tubular Limited","OILCOUNTUB","P&F | F.A","1.2%","67.34","38,128"
"97","Nagreeka Capital & Infrastructure Limited","NAGREEKCAP","P&F | F.A","1.17%","27.72","1,679"
"9","NIFTYM150QLTY50","NIFTYM150QLTY50","P&F | F.A","1.09%","24243.5","0"
"16","NIFTYMIDSMALLCAP400","NIFTYMIDSMALLCAP400","P&F | F.A","1.09%","19316.7","0"
"57","J.G.Chemicals Ltd","JGCHEM","P&F | F.A","0.96%","363","1,86,541"
"86","Aartech Solonics Ltd","AARTECH","P&F | F.A","0.91%","59.72","75,544"
"7","CNXMNC","CNXMNC","P&F | F.A","0.89%","28156.85","0"
"67","Signpost India Ltd","SIGNPOST","P&F | F.A","0.89%","219.92","52,531"
"13","NIFTY200QUALITY30","NIFTY200QUALITY30","P&F | F.A","0.87%","20776.6","0"
"12","Nifty midcap 150","NIFTYMIDCAP150","P&F | F.A","0.86%","20960.15","0"
"34","Pix Transmission Ltd","PIXTRANS","P&F | F.A","0.86%","1707.1","25,063"
"21","NIFTYINDIAMFG","NIFTYINDIAMFG","P&F | F.A","0.84%","14237.7","0"
"11","NIFTYMICROCAP250","NIFTYMICROCAP250","P&F | F.A","0.78%","22816.7","0"
"3","NIFTY100EQLWGT","NIFTY100EQLWGT","P&F | F.A","0.68%","32306.1","0"
"20","NIFTYMIDLIQ15","NIFTYMIDLIQ15","P&F | F.A","0.66%","14959.45","0"
"19","NIFTY500MULTICAP","NIFTY500MULTICAP","P&F | F.A","0.64%","15819.3","0"
"96","Mcleod Russel India Limited","MCLEODRUSS","P&F | F.A","0.61%","32.94","2,67,608"
"29","NIFTY50VALUE30","NIFTY50VALUE30","P&F | F.A","0.59%","5609.1","0"
"18","NIFTYLARGEMID250","NIFTYLARGEMID250","P&F | F.A","0.47%","16007.35","0"
"23","NIFTYTOTALMKT","NIFTYTOTALMKT","P&F | F.A","0.38%","12858.5","0"
"71","Kross Ltd","KROSS","P&F | F.A","0.33%","174.92","2,03,394"
"35","Shaily Engineering Plastics Ltd","SHAILY","P&F | F.A","0.28%","1671.6","77,873"
"94","Digicontent Ltd","DGCONTENT","P&F | F.A","0.25%","40.49","32,012"
"30","NIFTY100ESG","NIFTY100ESG","P&F | F.A","0.16%","4892.4","0"
"5","NIFTY200MOMENTM30","NIFTY200MOMENTM30","P&F | F.A","0.13%","30642.1","0"
"6","NIFTYFINSRV2550","NIFTYFINSRV2550","P&F | F.A","0.08%","28400.65","0"
"75","Niit Limited","NIITLTD","P&F | F.A","0.04%","139.35","8,49,345"
"4","NIFTY50EQLWGT","NIFTY50EQLWGT","P&F | F.A","0.01%","31285.65","0"
"31","NIFTY100ESGSECLDR","NIFTY100ESGSECLDR","P&F | F.A","-0.02%","4182.3","0"
"77","Bliss Gvs Pharma Limited","BLISSGVS","P&F | F.A","-0.02%","120.39","3,81,884"
"61","Sterling Tools Limited","STERTOOLS","P&F | F.A","-0.06%","336.75","3,51,783"
"37","Sasken Communication Technologies Limited","SASKEN","P&F | F.A","-0.07%","1496.2","25,374"
"15","NIFTY100LOWVOL30","NIFTY100LOWVOL30","P&F | F.A","-0.09%","19900.95","0"
"90","Soma Textiles & Industries Limited","SOMATEX","P&F | F.A","-0.13%","45.82","18,973"
"25","NIFTYINDDIGITAL","NIFTYINDDIGITAL","P&F | F.A","-0.17%","8857.75","0"
"8","NIFTYALPHALOWVOL","NIFTYALPHALOWVOL","P&F | F.A","-0.18%","26739.5","0"
"14","NIFTY50TR2XLEV","NIFTY50TR2XLEV","P&F | F.A","-0.25%","20570.3","0"
"78","DJ Mediaprint & Logistics Ltd","DJML","P&F | F.A","-0.31%","114.21","6,464"
"47","Siyaram Silk Mills Limited","SIYSIL","P&F | F.A","-0.34%","724.45","81,837"
"50","Sri Adhikari Brothers Television Network Ltd","SABTNL","P&F | F.A","-0.34%","595","1,778"
"22","NIFTY50PR2XLEV","NIFTY50PR2XLEV","P&F | F.A","-0.35%","14002.35","0"
"40","Innova Captab Ltd","INNOVACAP","P&F | F.A","-0.38%","923.15","39,196"
"2","NIFTYSERVSECTOR","NIFTYSERVSECTOR","P&F | F.A","-0.42%","32802.7","0"
"81","Krebs Biochemicals And Industries Limited","KREBSBIO","P&F | F.A","-0.47%","75.93","3,406"
"28","NIFTY100LIQ15","NIFTY100LIQ15","P&F | F.A","-0.51%","6923.05","0"
"32","Indo Tech Transformers Limited","INDOTECH","P&F | F.A","-0.51%","2528.3","20,746"
"68","Dishman Carbogen Amcis Ltd","DCAL","P&F | F.A","-0.58%","214.37","2,29,752"
"45","KRN Heat Exchanger and Refrigeration Ltd","KRN","P&F | F.A","-0.95%","799.9","5,95,039"
"74","Aarvee Denims & Exports Limited","AARVEEDEN","P&F | F.A","-1.13%","141.6","8,401"
"102","Yaari Digital Integrated Services Ltd","YAARI","P&F | F.A","-1.22%","14.57","2,32,821"
"107","Viji Finance Limited","VIJIFIN","P&F | F.A","-1.26%","2.36","1,18,154"
"63","Aries Agro Limited","ARIES","P&F | F.A","-1.56%","306.85","36,730"
"79","Gillanders Arbuthnot & Company Limited","GILLANDERS","P&F | F.A","-1.61%","110.31","11,329"
"36","Cartrade Tech Ltd","CARTRADE","P&F | F.A","-1.62%","1660.5","2,54,789"
"10","Jsw Holdings Limited","JSWHL","P&F | F.A","-1.68%","23930","1,219"
"106","Radaan Mediaworks India Limited","RADAAN","P&F | F.A","-1.82%","3.77","40,313"
"104","Next Mediaworks Limited","NEXTMEDIA","P&F | F.A","-1.97%","6.97","39,087"
"62","Izmo Limited","IZMO","P&F | F.A","-1.99%","327.8","6,997"
"105","Tv Vision Limited","TVVISION","P&F | F.A","-2.11%","6.96","19,564"
"43","AGI Infra Ltd","AGIIL","P&F | F.A","-2.12%","836.9","66,030"
"70","Panache Digilife Ltd","PANACHE","P&F | F.A","-2.18%","181.9","18,099"
"108","Gayatri Highways Ltd","GAYAHWS","P&F | F.A","-2.44%","1.2","48,311"
"69","Jagsonpal Pharmaceuticals Limited","JAGSNPHARM","P&F | F.A","-2.8%","213.16","2,04,267"
"91","3P Land Holdings Ltd","3PLAND","P&F | F.A","-3.15%","44.91","10,462"
"39","Vimta Labs Limited","VIMTALABS","P&F | F.A","-3.17%","1037.95","95,940"
"88","AMJ Land Holdings Ltd","AMJLAND","P&F | F.A","-3.27%","55.54","1,35,760"
"59","Orient Technologies Ltd","ORIENTTECH","P&F | F.A","-3.34%","356.15","4,08,869"
"87","Madhav Copper Ltd","MCL","P&F | F.A","-3.99%","56.73","1,16,624"
"51","Panacea Biotec Limited","PANACEABIO","P&F | F.A","-4.02%","533.75","2,39,824"
